task,fold,model,attack,epsilon,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,asr,evasion_asr,snn_agreement,num_classes,num_features,steps,alpha_factor,alpha,max_attempts,top_k,perturb_features,max_features,time_window
multi,1,XGBoost,BBA,0.3,0.855083857442348,0.8534601514359273,0.0002620545073375262,0.00020058111302258573,0.8548218029350105,0.9995217599234816,0.4734576757532281,0.8823375262054507,6,263,,,,170.0,170.0,165.0,, (180.0days)
multi,1,XGBoost,DBA-style,0.3,0.855083857442348,0.8534601514359273,0.37945492662473795,0.34770036860794273,0.4756289308176101,0.569583931133429,0.25203252032520324,0.8823375262054507,6,263,,,,,,,160.0, (180.0days)
multi,1,LightGBM,FGSM-SNN,0.05,0.8548218029350105,0.8537812969642604,0.3553459119496855,0.30346621402429885,0.499475890985325,0.5818181818181818,0.1583732057416268,0.890461215932914,6,263,,,,,,,, (180.0days)
multi,1,LightGBM,PGD-10-SNN,0.05,0.8548218029350105,0.8537812969642604,0.30686582809224316,0.23176893475539614,0.5479559748427674,0.5741626794258373,0.1444976076555024,0.890461215932914,6,263,10.0,3.0,0.1,,,,, (180.0days)
multi,1,LightGBM,PGD-20-SNN,0.05,0.8548218029350105,0.8537812969642604,0.31472746331236895,0.24242322943673203,0.5400943396226416,0.5722488038277512,0.1444976076555024,0.890461215932914,6,263,20.0,17.0,0.01764705882352941,,,,, (180.0days)
multi,1,LightGBM,BBA,0.05,0.8548218029350105,0.8537812969642604,0.00550314465408805,0.0044086341052206315,0.8493186582809225,0.9899521531100478,0.33253588516746413,0.890461215932914,6,263,,,,200.0,130.0,120.0,, (180.0days)
multi,1,LightGBM,DBA-style,0.05,0.8548218029350105,0.8537812969642604,0.29271488469601675,0.27986996421462795,0.5621069182389937,0.6655502392344498,0.22344497607655503,0.890461215932914,6,263,,,,,,,35.0, (180.0days)
multi,1,LightGBM,FGSM-SNN,0.1,0.8548218029350105,0.8537812969642604,0.3385744234800839,0.29556357784779197,0.5162473794549267,0.6205741626794259,0.22009569377990432,0.890461215932914,6,263,,,,,,,, (180.0days)
multi,1,LightGBM,PGD-10-SNN,0.1,0.8548218029350105,0.8537812969642604,0.2638888888888889,0.19529856516390248,0.5909329140461217,0.5933014354066986,0.19521531100478468,0.890461215932914,6,263,10.0,3.0,0.1,,,,, (180.0days)
multi,1,LightGBM,PGD-20-SNN,0.1,0.8548218029350105,0.8537812969642604,0.2617924528301887,0.18620723328931624,0.5930293501048218,0.5956937799043063,0.18516746411483254,0.890461215932914,6,263,20.0,17.0,0.01764705882352941,,,,, (180.0days)
multi,1,LightGBM,BBA,0.1,0.8548218029350105,0.8537812969642604,0.0010482180293501049,0.0008526426993208441,0.8537735849056605,0.9980861244019139,0.41483253588516744,0.890461215932914,6,263,,,,200.0,130.0,120.0,, (180.0days)
multi,1,LightGBM,DBA-style,0.1,0.8548218029350105,0.8537812969642604,0.2859014675052411,0.27271542484298583,0.5689203354297694,0.6679425837320574,0.22583732057416267,0.890461215932914,6,263,,,,,,,35.0, (180.0days)
multi,1,LightGBM,FGSM-SNN,0.2,0.8548218029350105,0.8537812969642604,0.32914046121593293,0.2901635632289132,0.5256813417190775,0.6267942583732058,0.22296650717703348,0.890461215932914,6,263,,,,,,,, (180.0days)
multi,1,LightGBM,PGD-10-SNN,0.2,0.8548218029350105,0.8537812969642604,0.24633123689727462,0.17179714006862432,0.6084905660377359,0.6282296650717704,0.2014354066985646,0.890461215932914,6,263,10.0,3.0,0.1,,,,, (180.0days)
multi,1,LightGBM,PGD-20-SNN,0.2,0.8548218029350105,0.8537812969642604,0.28170859538784065,0.20511957135291747,0.5731132075471699,0.5760765550239234,0.15885167464114833,0.890461215932914,6,263,20.0,17.0,0.01764705882352941,,,,, (180.0days)
multi,1,LightGBM,BBA,0.2,0.8548218029350105,0.8537812969642604,0.0,0.0,0.8548218029350105,1.0,0.3803827751196172,0.890461215932914,6,263,,,,200.0,130.0,120.0,, (180.0days)
multi,1,LightGBM,DBA-style,0.2,0.8548218029350105,0.8537812969642604,0.2830188679245283,0.2711663579038488,0.5718029350104823,0.6688995215311004,0.22870813397129186,0.890461215932914,6,263,,,,,,,35.0, (180.0days)
multi,1,LightGBM,FGSM-SNN,0.3,0.8548218029350105,0.8537812969642604,0.29979035639413,0.26130763261316386,0.5550314465408805,0.6708133971291866,0.25645933014354066,0.890461215932914,6,263,,,,,,,, (180.0days)
multi,1,LightGBM,PGD-10-SNN,0.3,0.8548218029350105,0.8537812969642604,0.25445492662473795,0.177092346296583,0.6003668763102725,0.6186602870813397,0.20382775119617225,0.890461215932914,6,263,10.0,3.0,0.1,,,,, (180.0days)
multi,1,LightGBM,PGD-20-SNN,0.3,0.8548218029350105,0.8537812969642604,0.2777777777777778,0.20444743934736775,0.5770440251572327,0.5923444976076555,0.17177033492822966,0.890461215932914,6,263,20.0,17.0,0.01764705882352941,,,,, (180.0days)
multi,1,LightGBM,BBA,0.3,0.8548218029350105,0.8537812969642604,0.0,0.0,0.8548218029350105,1.0,0.384688995215311,0.890461215932914,6,263,,,,200.0,130.0,120.0,, (180.0days)
multi,1,LightGBM,DBA-style,0.3,0.8548218029350105,0.8537812969642604,0.280398322851153,0.2690994145939117,0.5744234800838575,0.6732057416267943,0.23157894736842105,0.890461215932914,6,263,,,,,,,35.0, (180.0days)
multi,2,RF,FGSM-SNN,0.05,0.8417190775681341,0.8399989641220568,0.42950733752620546,0.3616413771900444,0.4122117400419287,0.4446057087566522,0.12675374939525882,0.8839098532494759,6,263,,,,,,,, (180.0days)
multi,2,RF,PGD-10-SNN,0.05,0.8417190775681341,0.8399989641220568,0.48480083857442346,0.4347233851935861,0.35691823899371067,0.43831640058055155,0.06095791001451379,0.8839098532494759,6,263,10.0,10.0,0.03,,,,, (180.0days)
multi,2,RF,PGD-20-SNN,0.05,0.8417190775681341,0.8399989641220568,0.4758909853249476,0.425227232746103,0.3658280922431865,0.4436381228834059,0.06095791001451379,0.8839098532494759,6,263,20.0,19.0,0.015789473684210527,,,,, (180.0days)
multi,2,RF,BBA,0.05,0.8417190775681341,0.8399989641220568,0.129979035639413,0.09435637731837893,0.7117400419287212,0.7600387034349299,0.39477503628447025,0.8839098532494759,6,263,,,,170.0,280.0,200.0,, (180.0days)
multi,2,RF,DBA-style,0.05,0.8417190775681341,0.8399989641220568,0.7914046121593291,0.789485646574851,0.05031446540880502,0.05660377358490566,0.033865505563618774,0.8839098532494759,6,263,,,,,,,175.0, (180.0days)
multi,2,RF,FGSM-SNN,0.1,0.8417190775681341,0.8399989641220568,0.4643605870020964,0.3994650042199333,0.3773584905660377,0.46057087566521526,0.1296565070149976,0.8839098532494759,6,263,,,,,,,, (180.0days)
multi,2,RF,PGD-10-SNN,0.1,0.8417190775681341,0.8399989641220568,0.48768343815513626,0.4258299764131817,0.35403563941299787,0.4392839864537978,0.06144170295113691,0.8839098532494759,6,263,10.0,10.0,0.03,,,,, (180.0days)
multi,2,RF,PGD-20-SNN,0.1,0.8417190775681341,0.8399989641220568,0.485062893081761,0.42227920951911885,0.35665618448637315,0.4431543299467828,0.06627963231736816,0.8839098532494759,6,263,20.0,19.0,0.015789473684210527,,,,, (180.0days)
multi,2,RF,BBA,0.1,0.8417190775681341,0.8399989641220568,0.10534591194968554,0.07784089450866305,0.7363731656184486,0.8055152394775036,0.45379777455249154,0.8839098532494759,6,263,,,,170.0,280.0,200.0,, (180.0days)
multi,2,RF,DBA-style,0.1,0.8417190775681341,0.8399989641220568,0.7830188679245284,0.780922912041989,0.05870020964360578,0.06434446057087566,0.04160619254958878,0.8839098532494759,6,263,,,,,,,175.0, (180.0days)
multi,2,RF,FGSM-SNN,0.2,0.8417190775681341,0.8399989641220568,0.4444444444444444,0.3750930514094452,0.3972746331236897,0.4784712143202709,0.12143202709240446,0.8839098532494759,6,263,,,,,,,, (180.0days)
multi,2,RF,PGD-10-SNN,0.2,0.8417190775681341,0.8399989641220568,0.4758909853249476,0.4140859525550485,0.3658280922431865,0.4547653604257378,0.03193033381712627,0.8839098532494759,6,263,10.0,10.0,0.03,,,,, (180.0days)
multi,2,RF,PGD-20-SNN,0.2,0.8417190775681341,0.8399989641220568,0.469601677148847,0.4063821839996566,0.37211740041928715,0.45718432510885343,0.033381712626995644,0.8839098532494759,6,263,20.0,19.0,0.015789473684210527,,,,, (180.0days)
multi,2,RF,BBA,0.2,0.8417190775681341,0.8399989641220568,0.0749475890985325,0.05488478177015722,0.7667714884696016,0.8616352201257862,0.43880019351717464,0.8839098532494759,6,263,,,,170.0,280.0,200.0,, (180.0days)
multi,2,RF,DBA-style,0.2,0.8417190775681341,0.8399989641220568,0.7775157232704403,0.7753215330167386,0.06420335429769386,0.06773101112723755,0.0440251572327044,0.8839098532494759,6,263,,,,,,,175.0, (180.0days)
multi,2,RF,FGSM-SNN,0.3,0.8417190775681341,0.8399989641220568,0.4378930817610063,0.3658398399733109,0.40382599580712786,0.4813739719400097,0.11223996129656506,0.8839098532494759,6,263,,,,,,,, (180.0days)
