task,fold,model,defense,evaluation_mode,attack,epsilon,base_clean_acc,base_clean_f1,defended_clean_acc,defended_clean_f1,clean_acc_drop,base_snn_agreement,defended_snn_agreement,train_epsilon,augmented_train_samples,num_classes,num_features,base_adv_acc,base_adv_f1,base_asr,base_evasion_asr,defended_adv_acc,defended_adv_f1,defended_asr,defended_evasion_asr,robustness_improvement,attack_reference_adv_acc,attack_reference_asr,attack_reference_evasion_asr,steps,alpha_factor,alpha,max_attempts,top_k,perturb_features,max_features
binary,1,RF,Mixed,transfer,PGD-20-SNN,0.3,0.8674004192872118,0.8678449272084983,0.8613731656184487,0.8618711389234843,0.006027253668763111,0.8689727463312369,0.8828616352201258,0.3,57240,2,716,0.37971698113207547,0.3720299889851517,0.46814279258924535,0.46814279258924535,1.0,1.0,0.0,0.0,0.6202830188679245,0.37971698113207547,0.46814279258924535,0.46814279258924535,20.0,19.0,0.015789473684210527,,,,
binary,1,RF,Mixed,transfer,BBA,0.3,0.8674004192872118,0.8678449272084983,0.8613731656184487,0.8618711389234843,0.006027253668763111,0.8689727463312369,0.8828616352201258,0.3,57240,2,716,0.20335429769392033,0.22018239724176217,0.6493447808404881,0.6493447808404881,0.8778825995807128,0.8782723278064439,0.0009090909090909091,0.0009090909090909091,0.6745283018867925,0.20335429769392033,0.6493447808404881,0.6493447808404881,,,,170.0,280.0,200.0,
binary,1,RF,Mixed,transfer,DBA-style,0.3,0.8674004192872118,0.8678449272084983,0.8613731656184487,0.8618711389234843,0.006027253668763111,0.8689727463312369,0.8828616352201258,0.3,57240,2,716,0.7764675052410901,0.7751546601165308,0.055128784455490284,0.055128784455490284,0.8684486373165619,0.8688684733022207,0.003181818181818182,0.003181818181818182,0.09198113207547176,0.7764675052410901,0.055128784455490284,0.055128784455490284,,,,,,,175.0
binary,1,DT,PGD-20-SNN,transfer,FGSM-SNN,0.05,0.8587526205450734,0.8604865791382629,0.8477463312368972,0.84907811510392,0.011006289308176154,0.8807651991614256,0.8626834381551363,0.3,22896,2,716,0.34591194968553457,0.3612329310442518,0.6060037523452158,0.6060037523452158,0.7877358490566038,0.7596028272434724,0.0070126227208976155,0.0070126227208976155,0.4418238993710692,0.34591194968553457,0.6060037523452158,0.6060037523452158,,,,,,,
binary,1,DT,PGD-20-SNN,transfer,PGD-10-SNN,0.05,0.8587526205450734,0.8604865791382629,0.8477463312368972,0.84907811510392,0.011006289308176154,0.8807651991614256,0.8626834381551363,0.3,22896,2,716,0.2887840670859539,0.3044067810415331,0.6439962476547842,0.6439962476547842,0.8828616352201258,0.8760799141140082,0.0018700327255726976,0.0018700327255726976,0.5940775681341719,0.2887840670859539,0.6439962476547842,0.6439962476547842,10.0,3.0,0.016666666666666666,,,,
binary,1,DT,PGD-20-SNN,transfer,PGD-20-SNN,0.05,0.8587526205450734,0.8604865791382629,0.8477463312368972,0.84907811510392,0.011006289308176154,0.8807651991614256,0.8626834381551363,0.3,22896,2,716,0.28747379454926625,0.3040648409728811,0.6608818011257036,0.6608818011257036,0.8797169811320755,0.8724398296081595,0.0018700327255726976,0.0018700327255726976,0.5922431865828093,0.28747379454926625,0.6608818011257036,0.6608818011257036,20.0,9.5,0.005263157894736842,,,,
binary,1,DT,PGD-20-SNN,transfer,BBA,0.05,0.8587526205450734,0.8604865791382629,0.8477463312368972,0.84907811510392,0.011006289308176154,0.8807651991614256,0.8626834381551363,0.3,22896,2,716,0.007075471698113208,0.009154110143902905,0.9873358348968105,0.9873358348968105,0.6808176100628931,0.6784614701915656,0.11640953716690042,0.11640953716690042,0.6737421383647799,0.007075471698113208,0.9873358348968105,0.9873358348968105,,,,80.0,160.0,115.0,
binary,1,DT,PGD-20-SNN,transfer,DBA-style,0.05,0.8587526205450734,0.8604865791382629,0.8477463312368972,0.84907811510392,0.011006289308176154,0.8807651991614256,0.8626834381551363,0.3,22896,2,716,0.18684486373165618,0.17431599372049292,0.8724202626641651,0.8724202626641651,0.814203354297694,0.8168944119652846,0.05282842449742871,0.05282842449742871,0.6273584905660378,0.18684486373165618,0.8724202626641651,0.8724202626641651,,,,,,,105.0
binary,1,DT,PGD-20-SNN,transfer,FGSM-SNN,0.1,0.8587526205450734,0.8604865791382629,0.8477463312368972,0.84907811510392,0.011006289308176154,0.8807651991614256,0.8626834381551363,0.3,22896,2,716,0.2890461215932914,0.30534864649264604,0.6848030018761726,0.6848030018761726,0.7879979035639413,0.7604515270612435,0.008882655446470314,0.008882655446470314,0.4989517819706499,0.2890461215932914,0.6848030018761726,0.6848030018761726,,,,,,,
binary,1,DT,PGD-20-SNN,transfer,PGD-10-SNN,0.1,0.8587526205450734,0.8604865791382629,0.8477463312368972,0.84907811510392,0.011006289308176154,0.8807651991614256,0.8626834381551363,0.3,22896,2,716,0.28747379454926625,0.294182533361753,0.6318011257035647,0.6318011257035647,0.8812893081761006,0.8745471490732352,0.004675081813931743,0.004675081813931743,0.5938155136268344,0.28747379454926625,0.6318011257035647,0.6318011257035647,10.0,3.0,0.03333333333333333,,,,
binary,1,DT,PGD-20-SNN,transfer,PGD-20-SNN,0.1,0.8587526205450734,0.8604865791382629,0.8477463312368972,0.84907811510392,0.011006289308176154,0.8807651991614256,0.8626834381551363,0.3,22896,2,716,0.25471698113207547,0.270860464052023,0.6927767354596623,0.6927767354596623,0.8812893081761006,0.8744602173678107,0.0037400654511453952,0.0037400654511453952,0.6265723270440251,0.25471698113207547,0.6927767354596623,0.6927767354596623,20.0,9.5,0.010526315789473684,,,,
