task,model,defense,evaluation_mode,attack,epsilon,base_clean_acc,defended_clean_acc,clean_acc_drop,base_adv_acc,defended_adv_acc,robustness_improvement,base_asr,defended_asr,base_evasion_asr,defended_evasion_asr,base_snn_agreement,defended_snn_agreement,num_features
binary,DT,PGD-20-SNN,transfer,DBA-style,0.3,0.8479428721174004,0.8486635220125787,-0.0007206498951781992,0.1104559748427673,0.7452830188679245,0.6348270440251572,0.8075981381431706,0.10032795116316398,0.8075981381431706,0.10032795116316398,0.8731656184486374,0.8711346960167715,716.0
binary,DT,PGD-20-SNN,transfer,FGSM-SNN,0.05,0.8479428721174004,0.8486635220125787,-0.0007206498951781992,0.446082285115304,0.6631944444444444,0.21711215932914046,0.44399712185369744,0.10609774018522523,0.44399712185369744,0.10609774018522523,0.8731656184486374,0.8711346960167715,716.0
binary,DT,PGD-20-SNN,transfer,FGSM-SNN,0.1,0.8479428721174004,0.8486635220125787,-0.0007206498951781992,0.35600104821802936,0.7038128930817611,0.3478118448637317,0.602930303243025,0.05530627890016064,0.602930303243025,0.05530627890016064,0.8731656184486374,0.8711346960167715,716.0
binary,DT,PGD-20-SNN,transfer,FGSM-SNN,0.2,0.8479428721174004,0.8486635220125787,-0.0007206498951781992,0.36969339622641506,0.7578616352201257,0.3881682389937107,0.6224721996940791,0.029666594982313055,0.6224721996940791,0.029666594982313055,0.8731656184486374,0.8711346960167715,716.0
binary,DT,PGD-20-SNN,transfer,FGSM-SNN,0.3,0.8479428721174004,0.8486635220125787,-0.0007206498951781992,0.37827568134171907,0.9776598532494759,0.5993841719077568,0.5828449864139975,0.034532163595982386,0.5828449864139975,0.034532163595982386,0.8731656184486374,0.8711346960167715,716.0
binary,DT,PGD-20-SNN,transfer,PGD-10-SNN,0.05,0.8479428721174004,0.8486635220125787,-0.0007206498951781992,0.37552410901467503,0.6962788259958071,0.32075471698113206,0.49493754313664146,0.07183663087363724,0.49493754313664146,0.07183663087363724,0.8731656184486374,0.8711346960167715,716.0
binary,DT,PGD-20-SNN,transfer,PGD-10-SNN,0.1,0.8479428721174004,0.8486635220125787,-0.0007206498951781992,0.2688024109014675,0.6916273584905661,0.42282494758909855,0.6697195733745911,0.03660993743696791,0.6697195733745911,0.03660993743696791,0.8731656184486374,0.8711346960167715,716.0
binary,DT,PGD-20-SNN,transfer,PGD-10-SNN,0.2,0.8479428721174004,0.8486635220125787,-0.0007206498951781992,0.2566168763102725,0.7528825995807128,0.4962657232704403,0.6789559709901747,0.0011638225980524935,0.6789559709901747,0.0011638225980524935,0.8731656184486374,0.8711346960167715,716.0
binary,DT,PGD-20-SNN,transfer,PGD-10-SNN,0.3,0.8479428721174004,0.8486635220125787,-0.0007206498951781992,0.2824292452830189,0.999475890985325,0.7170466457023061,0.6288349921176629,0.0005848021697724112,0.6288349921176629,0.0005848021697724112,0.8731656184486374,0.8711346960167715,716.0
binary,DT,PGD-20-SNN,transfer,PGD-20-SNN,0.05,0.8479428721174004,0.8486635220125787,-0.0007206498951781992,0.38056865828092246,0.6829795597484276,0.30241090146750527,0.4905748017676789,0.07483705411853805,0.4905748017676789,0.07483705411853805,0.8731656184486374,0.8711346960167715,716.0
binary,DT,PGD-20-SNN,transfer,PGD-20-SNN,0.1,0.8479428721174004,0.8486635220125787,-0.0007206498951781992,0.2727987421383648,0.6895309224318659,0.416732180293501,0.6589855050907686,0.0375295602172227,0.6589855050907686,0.0375295602172227,0.8731656184486374,0.8711346960167715,716.0
binary,DT,PGD-20-SNN,transfer,PGD-20-SNN,0.2,0.8479428721174004,0.8486635220125787,-0.0007206498951781992,0.25072064989517817,0.753603249475891,0.5028825995807128,0.6913994335823951,0.0020904438726619826,0.6913994335823951,0.0020904438726619826,0.8731656184486374,0.8711346960167715,716.0
binary,DT,PGD-20-SNN,transfer,PGD-20-SNN,0.3,0.8479428721174004,0.8486635220125787,-0.0007206498951781992,0.2858359538784067,0.9992793501048218,0.7134433962264151,0.6252727159700591,0.0007006371522445471,0.6252727159700591,0.0007006371522445471,0.8731656184486374,0.8711346960167715,716.0
binary,LightGBM,Mixed,transfer,BBA,0.05,0.8695623689727463,0.8380503144654088,0.031512054507337545,0.25596174004192873,0.6835691823899371,0.4276074423480084,0.5555371562387289,0.0,0.5555371562387289,0.0,0.89937106918239,0.9168632075471698,716.0
binary,LightGBM,Mixed,transfer,BBA,0.1,0.8695623689727463,0.8380503144654088,0.031512054507337545,0.1175314465408805,0.8575733752620545,0.7400419287211739,0.7957175624019512,0.017293789596059633,0.7957175624019512,0.017293789596059633,0.89937106918239,0.9168632075471698,716.0
binary,LightGBM,Mixed,transfer,BBA,0.2,0.8695623689727463,0.8380503144654088,0.031512054507337545,0.056145178197064986,0.922038784067086,0.865893605870021,0.9022158375002266,0.0012226366819838284,0.9022158375002266,0.0012226366819838284,0.89937106918239,0.9168632075471698,716.0
