task,model,defense,evaluation_mode,attack,epsilon,base_clean_acc,defended_clean_acc,clean_acc_drop,base_adv_acc,defended_adv_acc,robustness_improvement,base_asr,defended_asr,base_evasion_asr,defended_evasion_asr,base_snn_agreement,defended_snn_agreement,num_features
binary,DT,PGD-20-SNN,transfer,PGD-20-SNN,0.3,0.9069706498951782,0.9079533542976939,-0.0009827044025157161,0.45590932914046123,0.9976415094339622,0.541732180293501,0.496114719584259,0.0023848362820115105,0.496114719584259,0.0023848362820115105,0.8888233752620545,0.890788784067086,716.0
binary,LightGBM,Mixed,transfer,BBA,0.05,0.9475235849056604,0.9381551362683438,0.00936844863731659,0.22707023060796644,0.9282625786163522,0.7011923480083857,0.6356915944471659,0.011009380655773884,0.6356915944471659,0.011009380655773884,0.9219732704402516,0.9247248427672956,716.0
binary,LightGBM,Mixed,transfer,BBA,0.1,0.9475235849056604,0.9381551362683438,0.00936844863731659,0.07717505241090147,0.9369103773584906,0.8597353249475891,0.8761243855663352,0.010592023888913315,0.8761243855663352,0.010592023888913315,0.9219732704402516,0.9247248427672956,716.0
binary,LightGBM,Mixed,transfer,BBA,0.2,0.9475235849056604,0.9381551362683438,0.00936844863731659,0.04094601677148847,0.9428721174004193,0.9019261006289309,0.9343193412710373,0.009331164927972018,0.9343193412710373,0.009331164927972018,0.9219732704402516,0.9247248427672956,716.0
binary,LightGBM,Mixed,transfer,BBA,0.3,0.9475235849056604,0.9381551362683438,0.00936844863731659,0.036949685534591194,0.9512578616352201,0.9143081761006289,0.9407474698274112,0.005451755850493333,0.9407474698274112,0.005451755850493333,0.9219732704402516,0.9247248427672956,716.0
binary,LightGBM,Mixed,transfer,DBA-style,0.05,0.9475235849056604,0.9381551362683438,0.00936844863731659,0.788980607966457,0.94437893081761,0.15539832285115304,0.07405092617988501,0.0052333376231510605,0.07405092617988501,0.0052333376231510605,0.9219732704402516,0.9247248427672956,716.0
binary,LightGBM,Mixed,transfer,DBA-style,0.1,0.9475235849056604,0.9381551362683438,0.00936844863731659,0.7860980083857443,0.9447064989517819,0.15860849056603774,0.07521139585791552,0.005233249203991902,0.07521139585791552,0.005233249203991902,0.9219732704402516,0.9247248427672956,716.0
binary,LightGBM,Mixed,transfer,DBA-style,0.2,0.9475235849056604,0.9381551362683438,0.00936844863731659,0.7811844863731656,0.9449030398322851,0.16371855345911948,0.07881012583858259,0.005443772866093306,0.07881012583858259,0.005443772866093306,0.9219732704402516,0.9247248427672956,716.0
binary,LightGBM,Mixed,transfer,DBA-style,0.3,0.9475235849056604,0.9381551362683438,0.00936844863731659,0.7790225366876311,0.9464753668763103,0.1674528301886792,0.08039421032878258,0.0031420545951765097,0.08039421032878258,0.0031420545951765097,0.9219732704402516,0.9247248427672956,716.0
binary,LightGBM,Mixed,transfer,FGSM-SNN,0.05,0.9475235849056604,0.9381551362683438,0.00936844863731659,0.23257337526205452,0.9888626834381551,0.7562893081761006,0.7507468387499582,0.0,0.7507468387499582,0.0,0.9219732704402516,0.9247248427672956,716.0
binary,LightGBM,Mixed,transfer,FGSM-SNN,0.1,0.9475235849056604,0.9381551362683438,0.00936844863731659,0.13463050314465408,0.9999344863731656,0.8653039832285115,0.8841152871740864,0.0,0.8841152871740864,0.0,0.9219732704402516,0.9247248427672956,716.0
binary,LightGBM,Mixed,transfer,FGSM-SNN,0.2,0.9475235849056604,0.9381551362683438,0.00936844863731659,0.11477987421383648,0.9999344863731656,0.8851546121593291,0.898943030804324,0.0,0.898943030804324,0.0,0.9219732704402516,0.9247248427672956,716.0
binary,LightGBM,Mixed,transfer,FGSM-SNN,0.3,0.9475235849056604,0.9381551362683438,0.00936844863731659,0.09846698113207547,0.9999344863731656,0.9014675052410901,0.9125940670186794,0.0,0.9125940670186794,0.0,0.9219732704402516,0.9247248427672956,716.0
binary,LightGBM,Mixed,transfer,PGD-10-SNN,0.05,0.9475235849056604,0.9381551362683438,0.00936844863731659,0.2765985324947589,0.9895833333333333,0.7129848008385744,0.6341544035906548,0.00041841305395821807,0.6341544035906548,0.00041841305395821807,0.9219732704402516,0.9247248427672956,716.0
binary,LightGBM,Mixed,transfer,PGD-10-SNN,0.1,0.9475235849056604,0.9381551362683438,0.00936844863731659,0.2162604821802935,0.9998034591194969,0.7835429769392034,0.7005275697004645,0.0003147321353223338,0.7005275697004645,0.0003147321353223338,0.9219732704402516,0.9247248427672956,716.0
binary,LightGBM,Mixed,transfer,PGD-10-SNN,0.2,0.9475235849056604,0.9381551362683438,0.00936844863731659,0.2800707547169811,0.9996724318658281,0.7196016771488469,0.5807507459271223,0.00041973106475067304,0.5807507459271223,0.00041973106475067304,0.9219732704402516,0.9247248427672956,716.0
binary,LightGBM,Mixed,transfer,PGD-10-SNN,0.3,0.9475235849056604,0.9381551362683438,0.00936844863731659,0.2948768343815514,0.9988862683438156,0.7040094339622642,0.5490854646099876,0.0016761125770270217,0.5490854646099876,0.0016761125770270217,0.9219732704402516,0.9247248427672956,716.0
binary,LightGBM,Mixed,transfer,PGD-20-SNN,0.05,0.9475235849056604,0.9381551362683438,0.00936844863731659,0.3083071278825996,0.9842767295597484,0.6759696016771488,0.6025978807794226,0.00031482055448149235,0.6025978807794226,0.00031482055448149235,0.9219732704402516,0.9247248427672956,716.0
binary,LightGBM,Mixed,transfer,PGD-20-SNN,0.1,0.9475235849056604,0.9381551362683438,0.00936844863731659,0.19477201257861637,0.999475890985325,0.8047038784067087,0.755825214258182,0.0003147333132498904,0.755825214258182,0.0003147333132498904,0.9219732704402516,0.9247248427672956,716.0
binary,LightGBM,Mixed,transfer,PGD-20-SNN,0.2,0.9475235849056604,0.9381551362683438,0.00936844863731659,0.1977856394129979,0.9994103773584906,0.8016247379454926,0.7248741805888632,0.0008384081982588101,0.7248741805888632,0.0008384081982588101,0.9219732704402516,0.9247248427672956,716.0
binary,LightGBM,Mixed,transfer,PGD-20-SNN,0.3,0.9475235849056604,0.9381551362683438,0.00936844863731659,0.2198637316561845,0.9995414046121593,0.7796776729559749,0.6794222641378448,0.0006279717773890088,0.6794222641378448,0.0006279717773890088,0.9219732704402516,0.9247248427672956,716.0
binary,LightGBM,PGD-20-SNN,transfer,BBA,0.05,0.9475235849056604,0.9449685534591195,0.0025550314465409008,0.22707023060796644,0.6407232704402516,0.4136530398322851,0.6356915944471659,0.16406156605352537,0.6356915944471659,0.16406156605352537,0.9219732704402516,0.9178459119496856,716.0
binary,LightGBM,PGD-20-SNN,transfer,BBA,0.1,0.9475235849056604,0.9449685534591195,0.0025550314465409008,0.07717505241090147,0.6179900419287212,0.5408149895178197,0.8761243855663352,0.20645841776731125,0.8761243855663352,0.20645841776731125,0.9219732704402516,0.9178459119496856,716.0
binary,LightGBM,PGD-20-SNN,transfer,BBA,0.2,0.9475235849056604,0.9449685534591195,0.0025550314465409008,0.04094601677148847,0.5982049266247379,0.5572589098532494,0.9343193412710373,0.2134063460770013,0.9343193412710373,0.2134063460770013,0.9219732704402516,0.9178459119496856,716.0
binary,LightGBM,PGD-20-SNN,transfer,BBA,0.3,0.9475235849056604,0.9449685534591195,0.0025550314465409008,0.036949685534591194,0.5612552410901468,0.5243055555555556,0.9407474698274112,0.2585642125288923,0.9407474698274112,0.2585642125288923,0.9219732704402516,0.9178459119496856,716.0
binary,LightGBM,PGD-20-SNN,transfer,DBA-style,0.05,0.9475235849056604,0.9449685534591195,0.0025550314465409008,0.788980607966457,0.8865959119496856,0.09761530398322851,0.07405092617988501,0.02910942778661844,0.07405092617988501,0.02910942778661844,0.9219732704402516,0.9178459119496856,716.0
binary,LightGBM,PGD-20-SNN,transfer,DBA-style,0.1,0.9475235849056604,0.9449685534591195,0.0025550314465409008,0.7860980083857443,0.8826650943396226,0.09656708595387842,0.07521139585791552,0.028693085624940634,0.07521139585791552,0.028693085624940634,0.9219732704402516,0.9178459119496856,716.0
