task,fold,model,attack,epsilon,target_label,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,targeted_evasion_asr,snn_agreement,num_classes,num_features,num_targetable,steps,alpha_factor,alpha,max_attempts,top_k,perturb_features,max_features,time_window
multi_targeted_non_malicious,2,XGBoost,PGD-10-SNN-targeted-benign,0.3,3,0.8933438155136268,0.8929056239655396,0.5482180293501048,0.4800189978959966,0.3451257861635221,0.2755056179775281,0.8697589098532494,6,716,2225,10.0,8.0,0.0375,,,,, (14.0days)
multi_targeted_non_malicious,2,XGBoost,PGD-20-SNN-targeted-benign,0.3,3,0.8933438155136268,0.8929056239655396,0.5471698113207547,0.48445718583048814,0.34617400419287214,0.25303370786516854,0.8697589098532494,6,716,2225,20.0,15.5,0.01935483870967742,,,,, (14.0days)
multi_targeted_non_malicious,2,XGBoost,BBA-targeted-benign,0.3,3,0.8933438155136268,0.8929056239655396,0.3443396226415094,0.22874584055973762,0.5490041928721174,0.9415730337078652,0.8697589098532494,6,716,2225,,,,170.0,170.0,165.0,, (14.0days)
multi_targeted_non_malicious,2,XGBoost,DBA-style-targeted-benign,0.3,3,0.8933438155136268,0.8929056239655396,0.7785639412997903,0.7750409499707288,0.11477987421383651,0.19685393258426967,0.8697589098532494,6,716,2225,,,,,,,160.0, (14.0days)
multi_targeted_non_malicious,2,LightGBM,FGSM-SNN-targeted-benign,0.05,3,0.8922955974842768,0.8919455871775123,0.5883123689727463,0.5159492777845683,0.3039832285115305,0.11071107110711072,0.8831236897274634,6,716,2222,,,,,,,, (14.0days)
multi_targeted_non_malicious,2,LightGBM,PGD-10-SNN-targeted-benign,0.05,3,0.8922955974842768,0.8919455871775123,0.6103249475890985,0.5521480706575788,0.2819706498951783,0.11926192619261926,0.8831236897274634,6,716,2222,10.0,3.0,0.1,,,,, (14.0days)
multi_targeted_non_malicious,2,LightGBM,PGD-20-SNN-targeted-benign,0.05,3,0.8922955974842768,0.8919455871775123,0.5980083857442348,0.5294837055248783,0.294287211740042,0.08145814581458145,0.8831236897274634,6,716,2222,20.0,17.0,0.01764705882352941,,,,, (14.0days)
multi_targeted_non_malicious,2,LightGBM,BBA-targeted-benign,0.05,3,0.8922955974842768,0.8919455871775123,0.38757861635220126,0.30118924027281874,0.5047169811320755,0.8667866786678667,0.8831236897274634,6,716,2222,,,,200.0,130.0,120.0,, (14.0days)
multi_targeted_non_malicious,2,LightGBM,DBA-style-targeted-benign,0.05,3,0.8922955974842768,0.8919455871775123,0.6661425576519916,0.656176889955843,0.22615303983228519,0.38838883888388837,0.8831236897274634,6,716,2222,,,,,,,35.0, (14.0days)
multi_targeted_non_malicious,2,LightGBM,FGSM-SNN-targeted-benign,0.1,3,0.8922955974842768,0.8919455871775123,0.5720649895178197,0.4828083324590373,0.3202306079664571,0.20027002700270027,0.8831236897274634,6,716,2222,,,,,,,, (14.0days)
multi_targeted_non_malicious,2,LightGBM,PGD-10-SNN-targeted-benign,0.1,3,0.8922955974842768,0.8919455871775123,0.5969601677148847,0.5335669899846395,0.2953354297693921,0.06075607560756076,0.8831236897274634,6,716,2222,10.0,3.0,0.1,,,,, (14.0days)
multi_targeted_non_malicious,2,LightGBM,PGD-20-SNN-targeted-benign,0.1,3,0.8922955974842768,0.8919455871775123,0.589098532494759,0.5150348011041576,0.3031970649895178,0.04995499549954995,0.8831236897274634,6,716,2222,20.0,17.0,0.01764705882352941,,,,, (14.0days)
multi_targeted_non_malicious,2,LightGBM,BBA-targeted-benign,0.1,3,0.8922955974842768,0.8919455871775123,0.34067085953878407,0.22156333912821868,0.5516247379454927,0.9473447344734474,0.8831236897274634,6,716,2222,,,,200.0,130.0,120.0,, (14.0days)
multi_targeted_non_malicious,2,LightGBM,DBA-style-targeted-benign,0.1,3,0.8922955974842768,0.8919455871775123,0.6629979035639413,0.6524786437717889,0.2292976939203355,0.3937893789378938,0.8831236897274634,6,716,2222,,,,,,,35.0, (14.0days)
multi_targeted_non_malicious,2,LightGBM,FGSM-SNN-targeted-benign,0.2,3,0.8922955974842768,0.8919455871775123,0.5524109014675053,0.46324680220686887,0.3398846960167715,0.20162016201620162,0.8831236897274634,6,716,2222,,,,,,,, (14.0days)
multi_targeted_non_malicious,2,LightGBM,PGD-10-SNN-targeted-benign,0.2,3,0.8922955974842768,0.8919455871775123,0.5843815513626834,0.5247304607007574,0.30791404612159334,0.05850585058505851,0.8831236897274634,6,716,2222,10.0,3.0,0.1,,,,, (14.0days)
multi_targeted_non_malicious,2,LightGBM,PGD-20-SNN-targeted-benign,0.2,3,0.8922955974842768,0.8919455871775123,0.5825471698113207,0.5162147148283818,0.3097484276729561,0.06930693069306931,0.8831236897274634,6,716,2222,20.0,17.0,0.01764705882352941,,,,, (14.0days)
multi_targeted_non_malicious,2,LightGBM,BBA-targeted-benign,0.2,3,0.8922955974842768,0.8919455871775123,0.32625786163522014,0.1961623884599046,0.5660377358490567,0.9720972097209721,0.8831236897274634,6,716,2222,,,,200.0,130.0,120.0,, (14.0days)
