task,model,attack,epsilon,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,asr,evasion_asr,snn_agreement,num_features,time_window
multi,LightGBM,BBA,0.2,0.8614386792452831,0.8613252358381287,0.00019654088050314466,0.00019899608261997803,0.8612421383647799,0.9996548537215993,0.4405173468795885,0.8383778825995807,716.0, (1hours)
multi,LightGBM,BBA,0.3,0.8614386792452831,0.8613252358381287,0.0001310272536687631,0.0001402819667531739,0.8613076519916143,0.9997702205882353,0.42556077402659387,0.8383778825995807,716.0, (1hours)
multi,LightGBM,DBA-style,0.05,0.8614386792452831,0.8613252358381287,0.2752227463312369,0.26341977837267433,0.5862159329140462,0.642431506303426,0.48095561064110054,0.8383778825995807,716.0, (1hours)
multi,LightGBM,DBA-style,0.1,0.8614386792452831,0.8613252358381287,0.21219863731656186,0.1950149033360145,0.6492400419287212,0.661335285164669,0.47558947804545004,0.8383778825995807,716.0, (1hours)
multi,LightGBM,DBA-style,0.2,0.8614386792452831,0.8613252358381287,0.20040618448637315,0.18383962419153319,0.6610324947589098,0.6773405771608447,0.4810829891005284,0.8383778825995807,716.0, (1hours)
multi,LightGBM,DBA-style,0.3,0.8614386792452831,0.8613252358381287,0.19942348008385744,0.1828914171250169,0.6620151991614256,0.6786105936228237,0.47981268130278465,0.8383778825995807,716.0, (1hours)
multi,LightGBM,FGSM-SNN,0.05,0.8614386792452831,0.8613252358381287,0.28426362683438156,0.28799284267324726,0.5771750524109014,0.7262223183403611,0.23896724410301556,0.8383778825995807,716.0, (1hours)
multi,LightGBM,FGSM-SNN,0.1,0.8614386792452831,0.8613252358381287,0.3408018867924528,0.29500582402113107,0.5206367924528301,0.6442239932988035,0.33696973230623734,0.8383778825995807,716.0, (1hours)
multi,LightGBM,FGSM-SNN,0.2,0.8614386792452831,0.8613252358381287,0.3299266247379455,0.2673938912575907,0.5315120545073375,0.6488788085425798,0.2963118717361812,0.8383778825995807,716.0, (1hours)
multi,LightGBM,FGSM-SNN,0.3,0.8614386792452831,0.8613252358381287,0.2980214884696017,0.2403853010703385,0.5634171907756813,0.672511157855679,0.25144417081024234,0.8383778825995807,716.0, (1hours)
multi,LightGBM,PGD-10-SNN,0.05,0.8614386792452831,0.8613252358381287,0.2843946540880503,0.28158950014350353,0.5770440251572327,0.7150309673573743,0.2666934826455257,0.8383778825995807,716.0, (1hours)
multi,LightGBM,PGD-10-SNN,0.1,0.8614386792452831,0.8613252358381287,0.38115828092243187,0.33925670029336985,0.4802803983228512,0.6290227483796524,0.20939611017213036,0.8383778825995807,716.0, (1hours)
multi,LightGBM,PGD-10-SNN,0.2,0.8614386792452831,0.8613252358381287,0.34486373165618445,0.29805672661226873,0.5165749475890985,0.6446981629294104,0.10890951267889115,0.8383778825995807,716.0, (1hours)
multi,LightGBM,PGD-10-SNN,0.3,0.8614386792452831,0.8613252358381287,0.2841325995807128,0.24077628139758644,0.5773060796645703,0.6987240039126792,0.07294719728600146,0.8383778825995807,716.0, (1hours)
multi,LightGBM,PGD-20-SNN,0.05,0.8614386792452831,0.8613252358381287,0.27594339622641506,0.27646684960099555,0.5854952830188679,0.7353313957518467,0.2600371499677369,0.8383778825995807,716.0, (1hours)
multi,LightGBM,PGD-20-SNN,0.1,0.8614386792452831,0.8613252358381287,0.3660901467505241,0.32814281528922884,0.49534853249475885,0.6442417379201222,0.21646464155098388,0.8383778825995807,716.0, (1hours)
multi,LightGBM,PGD-20-SNN,0.2,0.8614386792452831,0.8613252358381287,0.3463705450733753,0.3044970464187673,0.5150681341719078,0.6558504492422497,0.1394022321759389,0.8383778825995807,716.0, (1hours)
multi,LightGBM,PGD-20-SNN,0.3,0.8614386792452831,0.8613252358381287,0.3333988469601677,0.2926346733831235,0.5280398322851153,0.6608887815523128,0.13933709608876735,0.8383778825995807,716.0, (1hours)
multi,RF,BBA,0.05,0.8458464360587001,0.8454404420461298,0.37080712788259956,0.37259081260761767,0.4750393081761006,0.4811384275541635,0.2612649108442676,0.8096174004192872,716.0, (1hours)
multi,RF,BBA,0.1,0.8458464360587001,0.8454404420461298,0.2540618448637316,0.2483064762873405,0.5917845911949685,0.6350046989870375,0.27888221399086743,0.8096174004192872,716.0, (1hours)
multi,RF,BBA,0.2,0.8458464360587001,0.8454404420461298,0.1495676100628931,0.1311906223975688,0.6962788259958071,0.7469112527520041,0.30889824115524545,0.8096174004192872,716.0, (1hours)
multi,RF,BBA,0.3,0.8458464360587001,0.8454404420461298,0.12978249475890985,0.10944363368264969,0.7160639412997903,0.770988625903619,0.33626314080827924,0.8096174004192872,716.0, (1hours)
multi,RF,DBA-style,0.05,0.8458464360587001,0.8454404420461298,0.7435796645702306,0.7431676235147409,0.1022667714884696,0.08156050274896288,0.06786230932977219,0.8096174004192872,716.0, (1hours)
multi,RF,DBA-style,0.1,0.8458464360587001,0.8454404420461298,0.7427935010482181,0.7423767122028391,0.10305293501048216,0.0822543139658654,0.0680918478514869,0.8096174004192872,716.0, (1hours)
multi,RF,DBA-style,0.2,0.8458464360587001,0.8454404420461298,0.7405005241090147,0.74008854972843,0.10534591194968554,0.08547766914992516,0.07120190936679237,0.8096174004192872,716.0, (1hours)
multi,RF,DBA-style,0.3,0.8458464360587001,0.8454404420461298,0.7406315513626834,0.7402256217879163,0.10521488469601672,0.08513060226814573,0.07120190936679237,0.8096174004192872,716.0, (1hours)
multi,RF,FGSM-SNN,0.05,0.8458464360587001,0.8454404420461298,0.4562368972746331,0.4189023755512762,0.38960953878406707,0.47861799737944605,0.12957012968691373,0.8096174004192872,716.0, (1hours)
multi,RF,FGSM-SNN,0.1,0.8458464360587001,0.8454404420461298,0.3820099580712788,0.3154233448333421,0.4638364779874214,0.5109427865617926,0.19026290935681517,0.8096174004192872,716.0, (1hours)
multi,RF,FGSM-SNN,0.2,0.8458464360587001,0.8454404420461298,0.32304769392033544,0.2252181532746566,0.5227987421383647,0.5465177227480897,0.1989307307092058,0.8096174004192872,716.0, (1hours)
multi,RF,FGSM-SNN,0.3,0.8458464360587001,0.8454404420461298,0.31675838574423476,0.20503911057194385,0.5290880503144654,0.5510292496260025,0.16993952154264486,0.8096174004192872,716.0, (1hours)
multi,RF,PGD-10-SNN,0.05,0.8458464360587001,0.8454404420461298,0.44981656184486374,0.4076155467036537,0.39602987421383645,0.49159573527557365,0.1958231591762186,0.8096174004192872,716.0, (1hours)
multi,RF,PGD-10-SNN,0.1,0.8458464360587001,0.8454404420461298,0.3981918238993711,0.3362931814668006,0.4476546121593291,0.528992121421932,0.2857391247064502,0.8096174004192872,716.0, (1hours)
multi,RF,PGD-10-SNN,0.2,0.8458464360587001,0.8454404420461298,0.33143343815513626,0.24344982858827374,0.5144129979035639,0.5461893785797358,0.28316261215432326,0.8096174004192872,716.0, (1hours)
