task,fold,model,attack,epsilon,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,asr,evasion_asr,snn_agreement,num_classes,num_features
multi,1,XGBoost,PGD-20-SNN,0.1,0.6118972746331237,0.5066218054988113,0.37735849056603776,0.2681757089219702,0.23453878406708595,0.3790358248562583,0.08359133126934984,0.924266247379455,6,453
multi,1,XGBoost,BBA,0.1,0.6118972746331237,0.5066218054988113,0.3380503144654088,0.21573314904549123,0.2738469601677149,0.4356479433878815,0.040689960194604156,0.924266247379455,6,453
multi,1,XGBoost,DBA-style,0.1,0.6118972746331237,0.5066218054988113,0.60062893081761,0.4930824371283889,0.01126834381551367,0.015037593984962405,0.0004422821760283061,0.924266247379455,6,453
multi,1,XGBoost,FGSM-SNN,0.2,0.6118972746331237,0.5066218054988113,0.40644654088050314,0.30490633634959285,0.20545073375262057,0.33878814683768244,0.11587793011941619,0.924266247379455,6,453
multi,1,XGBoost,PGD-10-SNN,0.2,0.6118972746331237,0.5066218054988113,0.3553459119496855,0.24183499463809083,0.2565513626834382,0.4166298098186643,0.14551083591331268,0.924266247379455,6,453
multi,1,XGBoost,PGD-20-SNN,0.2,0.6118972746331237,0.5066218054988113,0.3553459119496855,0.24031612343418376,0.2565513626834382,0.41264927023440956,0.14904909332153915,0.924266247379455,6,453
multi,1,XGBoost,BBA,0.2,0.6118972746331237,0.5066218054988113,0.32887840670859536,0.20444001862045197,0.28301886792452835,0.4462627156125608,0.08580274214949138,0.924266247379455,6,453
multi,1,XGBoost,DBA-style,0.2,0.6118972746331237,0.5066218054988113,0.6040356394129979,0.49638524065179473,0.00786163522012584,0.009730207872622734,0.0004422821760283061,0.924266247379455,6,453
multi,1,XGBoost,FGSM-SNN,0.3,0.6118972746331237,0.5066218054988113,0.4077568134171908,0.309605326068531,0.20414046121593293,0.3365767359575409,0.2680229986731535,0.924266247379455,6,453
multi,1,XGBoost,PGD-10-SNN,0.3,0.6118972746331237,0.5066218054988113,0.345125786163522,0.22683287414312153,0.2667714884696017,0.4307828394515701,0.17558602388323752,0.924266247379455,6,453
multi,1,XGBoost,PGD-20-SNN,0.3,0.6118972746331237,0.5066218054988113,0.3474842767295597,0.2315229890119303,0.264412997903564,0.42636001769128706,0.16143299425033172,0.924266247379455,6,453
multi,1,XGBoost,BBA,0.3,0.6118972746331237,0.5066218054988113,0.3259958071278826,0.20163083703300244,0.2859014675052411,0.4502432551968156,0.09243697478991597,0.924266247379455,6,453
multi,1,XGBoost,DBA-style,0.3,0.6118972746331237,0.5066218054988113,0.6040356394129979,0.49638524065179473,0.00786163522012584,0.009730207872622734,0.0004422821760283061,0.924266247379455,6,453
multi,1,LightGBM,FGSM-SNN,0.05,0.6134696016771488,0.508609366109691,0.6134696016771488,0.508609366109691,0.0,0.0,0.0,0.8713312368972747,6,453
